2024-04-11 16:02:05,266 | WARN  | Transport Connection to: ws://192.168.0.112:64299 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64299 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:02:05,278 | WARN  | Transport Connection to: ws://192.168.0.112:64300 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64300 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:02:05,302 | WARN  | Transport Connection to: ws://192.168.0.112:64301 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64301 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:02:05,315 | WARN  | Transport Connection to: ws://192.168.0.112:64302 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64302 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:02:05,334 | WARN  | Transport Connection to: ws://192.168.0.112:64303 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64303 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:02:05,422 | WARN  | Transport Connection to: ws://192.168.0.112:64304 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64304 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:02:05,631 | WARN  | Transport Connection to: ws://192.168.0.112:64305 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64305 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:02:05,735 | WARN  | Transport Connection to: ws://192.168.0.112:64306 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64306 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:02:06,240 | WARN  | Transport Connection to: ws://192.168.0.112:64307 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64307 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:02:06,430 | WARN  | Transport Connection to: ws://192.168.0.112:64308 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64308 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:02:07,008 | WARN  | Transport Connection to: ws://192.168.0.112:64309 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64309 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:02:07,122 | WARN  | Transport Connection to: ws://192.168.0.112:64310 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64310 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:02:07,276 | WARN  | Transport Connection to: ws://192.168.0.112:64311 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64311 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:02:07,525 | WARN  | Transport Connection to: ws://192.168.0.112:64312 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64312 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:02:08,160 | WARN  | Transport Connection to: ws://192.168.0.112:64314 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64314 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:02:09,251 | WARN  | Transport Connection to: ws://192.168.0.112:64316 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64316 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:02:09,482 | WARN  | Transport Connection to: ws://192.168.0.112:64317 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64317 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:05,162 | WARN  | Transport Connection to: ws://192.168.0.112:64339 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64339 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:05,187 | WARN  | Transport Connection to: ws://192.168.0.112:64340 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64340 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:05,199 | WARN  | Transport Connection to: ws://192.168.0.112:64347 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64347 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:05,206 | WARN  | Transport Connection to: ws://192.168.0.112:64348 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64348 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:05,239 | WARN  | Transport Connection to: ws://192.168.0.112:64350 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64350 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:05,239 | WARN  | Transport Connection to: ws://192.168.0.112:64349 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64349 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@743693dc[State = -1, empty queue]
2024-04-11 16:03:05,269 | WARN  | Transport Connection to: ws://192.168.0.112:64351 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64351 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@743693dc[State = -1, empty queue]
2024-04-11 16:03:05,269 | WARN  | Transport Connection to: ws://192.168.0.112:64352 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64352 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:05,287 | WARN  | Transport Connection to: ws://192.168.0.112:64353 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64353 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:05,302 | WARN  | Transport Connection to: ws://192.168.0.112:64354 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64354 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:05,317 | WARN  | Transport Connection to: ws://192.168.0.112:64355 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64355 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
